id,name,from_anime,gender,price,image_url
63,Gaul Galette des Rois,Dog Days,m,4678,http://cdn.myanimelist.net/images/characters/8/140093.jpg
64,Genos,One Punch Man,m,2546,http://cdn.myanimelist.net/images/characters/9/297329.jpg
65,Gilgamesh,Fate (Series),m,2846,http://cdn.myanimelist.net/images/characters/15/135563.jpg
66,Gokudera Hayato,Katekyo Hitman Reborn!,m,1319,http://cdn.myanimelist.net/images/characters/8/61975.jpg
67,Gon Freecss,Hunter x Hunter (2011),m,2538,http://cdn.myanimelist.net/images/characters/11/174517.jpg
68,Gotou Hidenori,Samurai Flamenco,m,4082,http://cdn.myanimelist.net/images/characters/10/222745.jpg
69,Gray Fullbuster,Fairy Tail,m,1428,http://cdn.myanimelist.net/images/characters/8/119554.jpg
70,Grimmjow Jaegerjaquez,Bleach,m,2604,http://cdn.myanimelist.net/images/characters/10/159977.jpg
71,Hanamiya Makoto,Kuroko no Basket,m,1440,http://cdn.myanimelist.net/images/characters/3/232143.jpg
72,Hanamura Yousuke,Persona 4,m,1410,http://cdn.myanimelist.net/images/characters/13/138015.jpg
75,Hasegawa Kodaka,Boku wa Tomodachi ga Sukunai,m,1496,http://cdn.myanimelist.net/images/characters/6/136401.jpg
76,Hashida Itaru,"Steins;Gate",m,2757,http://cdn.myanimelist.net/images/characters/6/113767.jpg
77,Hatake Kakashi,Naruto,m,2483,http://cdn.myanimelist.net/images/characters/7/284129.jpg
78,Hazama Masayoshi,Samurai Flamenco,m,723,http://cdn.myanimelist.net/images/characters/5/222747.jpg
79,Hazuki Nagisa,Free!,m,2792,http://cdn.myanimelist.net/images/characters/15/212021.jpg
80,Hei,Darker than Black,m,2647,http://cdn.myanimelist.net/images/characters/10/31569.jpg
82,Hibari Kyouya,Katekyo Hitman Reborn!,m,3386,http://cdn.myanimelist.net/images/characters/2/107841.jpg
83,Hijikata Toushirou,Gintama,m,1117,http://cdn.myanimelist.net/images/characters/7/73155.jpg
84,Hijirikawa Masato,Uta No Prince-Sama,m,3480,http://cdn.myanimelist.net/images/characters/14/128373.jpg
85,Hikigaya Hachiman,Oregairu,m,4558,http://cdn.myanimelist.net/images/characters/4/203555.jpg
86,Himuro Tatsuya,Kuroko no Basket,m,1867,http://cdn.myanimelist.net/images/characters/12/221965.jpg
87,Hinata Hideki,Angel Beats!,m,4081,http://cdn.myanimelist.net/images/characters/7/87904.jpg
88,Hinata Shouyou,Haikyuu!!,m,1120,http://cdn.myanimelist.net/images/characters/11/243919.jpg
89,Hitsugaya Toushirou,Bleach,m,1461,http://cdn.myanimelist.net/images/characters/11/36579.jpg
91,Hoshi (Arakawa),Arakawa Under the Bridge,m,2035,http://cdn.myanimelist.net/images/characters/10/85129.jpg
95,Houtsuin Yamato,Devil Survivor 2 The Animation,m,2163,http://cdn.myanimelist.net/images/characters/11/202329.jpg
96,Hyakuya Mikaela,Owari no Seraph: Nagoya Kessen-hen,m,2515,https://myanimelist.cdn-dena.com/images/characters/16/282380.jpg
97,Hyakuya Yuuichirou,Owari no Seraph: Nagoya Kessen-hen,m,1469,https://myanimelist.cdn-dena.com/images/characters/14/282378.jpg
99,Hyoudou Issei,High School DxD,m,1866,http://cdn.myanimelist.net/images/characters/4/211641.jpg
100,Hyuuga Junpei,Kuroko no Basket,m,731,http://cdn.myanimelist.net/images/characters/7/165261.jpg
101,Ichinose Guren,Owari no Seraph: Nagoya Kessen-hen,m,1148,https://myanimelist.cdn-dena.com/images/characters/15/282379.jpg
